NOMBRES,CARGO
Barrios Alvarado Elvia,PRESIDENTA
Arias Lazarte Carlos Giovani,JUEZ SUPREMO - CONSEJERO
"De la Rosa Bedriñana, Mariem Vicky",JUEZA SUPREMA - JEFA DE LA OCMA
Lama More Hector Enrique,JUEZ SUPREMO - CONSEJERO
Aranda Rodriguez Ana Maria,JUEZA SUPREMA
Arévalo Vela Javier,JUEZ SUPREMO
Pariona Pastrana Josue,JUEZ SUPREMO
Prado Saldarriaga Victor Roberto,JUEZ SUPREMO
Mag. Jorge Luis Salas Arenas ,JUEZ SUPREMO
San Martin Castro Cesar Eugenio,JUEZ SUPREMO
Tello Gilardi Janet Ofelia Lourdes,JUEZA SUPREMA
Marco Antonio Asunción Palomino Valencia ,PROCURADOR PÚBLICO
Chafloque Agapito Lucy Margot,GERENTE GENERAL
Mera Casas Luis Alberto,SECRETARIO GENERAL CONSEJO EJECUTIVO
Peñaloza Matias Willian Carlos,SECRETARIO GENERAL DE LA CORTE SUPREMA DE JUSTICIA DE LA REPÚBLICA
Víctor Rodolfo Zumarán Alvitez,SECRETARIO GENERAL DE LA GERENCIA GENERAL
Dominguez Haro Helder,DIRECTOR DE CENTRO DE INVESTIGACIONES JUDICIALES
Garcés Lama Galo Paulino Ramón,JEFE DE UNIDAD DE LA OFICINA DE PROTOCOLO
Horna Araujo Adler,GERENTE DE SERVICIOS JUDICIALES Y RECAUDACIÓN JUDICIAL
Perez Silva Guillermo,GERENTE DE INFORMÁTICA
