Country,Rank,Score,Status
 Norway,1,8,Free
 Netherlands,2,11,Free
 Sweden,3,11,Free
 Belgium,4,12,Free
 Denmark,5,12,Free
 Finland,6,12,Free
  Switzerland,7,13,Free
 Luxembourg,8,14,Free
 Andorra,9,15,Free
 Iceland,10,15,Free
 Liechtenstein,11,15,Free
 Palau,12,15,Free
 Costa Rica,13,16,Free
 Estonia,14,16,Free
 Monaco,15,16,Free
 Marshall Islands,16,17,Free
 Portugal,17,17,Free
 Saint Lucia,18,17,Free
 San Marino,19,17,Free
 Canada,20,18,Free
 Ireland,21,18,Free
 Barbados,22,19,Free
 Jamaica,23,19,Free
 New Zealand,24,19,Free
 Germany,25,20,Free
 Czech Republic,26,21,Free
 Lithuania,27,21,Free
 Micronesia,28,21,Free
 Saint Kitts and Nevis,29,21,Free
 Saint Vincent and the Grenadines,30,21,Free
 Australia,31,22,Free
 Austria,32,22,Free
 Bahamas,33,23,Free
 Cyprus,34,23,Free
 Malta,35,23,Free
 Slovenia,36,23,Free
 United States,37,23,Free
 Uruguay,38,24,Free
 Dominica,39,25,Free
 Taiwan,40,25,Free
 Trinidad and Tobago,41,25,Free
 United Kingdom,42,25,Free
 Vanuatu,43,25,Free
 France,44,26,Free
 Grenada,45,26,Free
 Latvia,46,26,Free
 Slovakia,47,26,Free
 Belize,48,27,Free
 Cape Verde,49,27,Free
 Japan,50,27,Free
 Solomon Islands,51,27,Free
 Tuvalu,52,27,Free
 São Tomé and Príncipe,53,28,Free
 Spain,53,28,Free
 Suriname,53,28,Free
 Chile,56,29,Free
 Mauritius,56,29,Free
 Papua New Guinea,56,29,Free
 Samoa,56,29,Free
 Kiribati,60,30,Free
 Tonga,60,30,Free
 Italy,62,31,Partly Free
 Namibia,63,32,Partly Free
 Ghana,64,33,Partly Free
 Israel,64,33,Partly Free
 Antigua and Barbuda,66,34,Partly Free
 Poland,66,34,Partly Free
 South Korea,66,34,Partly Free
 Timor-Leste,69,35,Partly Free
 Benin,70,37,Partly Free
 Mali,70,37,Partly Free
 Mongolia,70,37,Partly Free
 Guyana,73,38,Partly Free
 Romania,73,38,Partly Free
 South Africa,73,38,Partly Free
 Burkina Faso,76,41,Partly Free
 Croatia,76,41,Partly Free
 El Salvador,76,41,Partly Free
 Panama,76,41,Partly Free
 Bulgaria,80,42,Partly Free
 Dominican Republic,80,42,Partly Free
 Hong Kong,80,42,Partly Free
 India,83,43,Partly Free
 Fiji,84,44,Partly Free
 Greece,84,44,Partly Free
 Hungary,84,44,Partly Free
 Montenegro,84,44,Partly Free
 Philippines,84,44,Partly Free
 Botswana,89,45,Partly Free
 Malawi,89,45,Partly Free
 Peru,89,45,Partly Free
 Argentina,92,46,Partly Free
 Nauru,92,46,Partly Free
 Brazil,94,47,Partly Free
 Senegal,94,47,Partly Free
 Kosovo,96,48,Partly Free
 Mozambique,96,48,Partly Free
 Comoros,98,49,Partly Free
 Indonesia,98,49,Partly Free
